#"+EI EIC(312,7) Scan 60C_1ml-min_1C-min_2.D  Smooth "
#Point;X(Minutes);Y(Counts)
0;6,591;0
1;6,595;0
2;6,599;0
3;6,603;0
4;6,607;0
5;6,611;0
6;6,616;0
7;6,620;0
8;6,624;0
9;6,628;0
10;6,632;0
11;6,636;0
12;6,640;0
13;6,644;0
14;6,649;0
15;6,653;0
16;6,657;0
17;6,661;0
18;6,665;0
19;6,669;0
20;6,673;0
21;6,677;0
22;6,682;0
23;6,686;0
24;6,690;0
25;6,694;0
26;6,698;0
27;6,702;0
28;6,706;0
29;6,710;0
30;6,715;0
31;6,719;0
32;6,723;0
33;6,727;0
34;6,731;0
35;6,735;0
36;6,739;0
37;6,743;0
38;6,747;0
39;6,752;0
40;6,756;0
41;6,760;0
42;6,764;0
43;6,768;0
44;6,772;0
45;6,776;0
46;6,780;0
47;6,785;0
48;6,789;0
49;6,793;0
50;6,797;0
51;6,801;0
52;6,805;0
53;6,809;0
54;6,813;0
55;6,818;0
56;6,822;0
57;6,826;0
58;6,830;0
59;6,834;0
60;6,838;0
61;6,842;0
62;6,846;0
63;6,851;0
64;6,855;0
65;6,859;0
66;6,863;0
67;6,867;0
68;6,871;0
69;6,875;0
70;6,879;0
71;6,884;0
72;6,888;0
73;6,892;0
74;6,896;0
75;6,900;0
76;6,904;0
77;6,908;0
78;6,912;0
79;6,916;0
80;6,921;0
81;6,925;0
82;6,929;0
83;6,933;0
84;6,937;0
85;6,941;0
86;6,945;0
87;6,949;0
88;6,954;0
89;6,958;0
90;6,962;0
91;6,966;0
92;6,970;0
93;6,974;0
94;6,978;0
95;6,982;0
96;6,987;0
97;6,991;0
98;6,995;0
99;6,999;0
100;7,003;0
101;7,007;0
102;7,011;0
103;7,015;0
104;7,020;0
105;7,024;0
106;7,028;0
107;7,032;0
108;7,036;0
109;7,040;0
110;7,044;0
111;7,048;0
112;7,053;0
113;7,057;0
114;7,061;0
115;7,065;0
116;7,069;0
117;7,073;0
118;7,077;0
119;7,081;0
120;7,085;0
121;7,090;0
122;7,094;0
123;7,098;0
124;7,102;0
125;7,106;0
126;7,110;0
127;7,114;0
128;7,118;0
129;7,123;0
130;7,127;0
131;7,131;0
132;7,135;0
133;7,139;0
134;7,143;0
135;7,147;0
136;7,151;0
137;7,156;0
138;7,160;0
139;7,164;0
140;7,168;0
141;7,172;0
142;7,176;0
143;7,180;0
144;7,184;0
145;7,189;0
146;7,193;0
147;7,197;0
148;7,201;0
149;7,205;0
150;7,209;0
151;7,213;0
152;7,217;0
153;7,222;0
154;7,226;0
155;7,230;0
156;7,234;0
157;7,238;0
158;7,242;0
159;7,246;0
160;7,250;0
161;7,254;0
162;7,259;0
163;7,263;0
164;7,267;0
165;7,271;0
166;7,275;0
167;7,279;0
168;7,283;0
169;7,287;0
170;7,292;0
171;7,296;0
172;7,300;0
173;7,304;0
174;7,308;0
175;7,312;0
176;7,316;0
177;7,320;0
178;7,325;0
179;7,329;0
180;7,333;0
181;7,337;0
182;7,341;0
183;7,345;0
184;7,349;0
185;7,353;0
186;7,358;0
187;7,362;0
188;7,366;0
189;7,370;0
190;7,374;0
191;7,378;0
192;7,382;0
193;7,386;0
194;7,391;0
195;7,395;0
196;7,399;0
197;7,403;0
198;7,407;0
199;7,411;0
200;7,415;0
201;7,419;0
202;7,423;0
203;7,428;0
204;7,432;0
205;7,436;0
206;7,440;0
207;7,444;0
208;7,448;0
209;7,452;0
210;7,456;0
211;7,461;0
212;7,465;0
213;7,469;0
214;7,473;0
215;7,477;0
216;7,481;0
217;7,485;0
218;7,489;0
219;7,494;0
220;7,498;0
221;7,502;0
222;7,506;0
223;7,510;0
224;7,514;0
225;7,518;0
226;7,522;0
227;7,527;0
228;7,531;0
229;7,535;0
230;7,539;0
231;7,543;0
232;7,547;0
233;7,551;0
234;7,555;0
235;7,560;0
236;7,564;0
237;7,568;0
238;7,572;0
239;7,576;0
240;7,580;0
241;7,584;0
242;7,588;0
243;7,592;0
244;7,597;0
245;7,601;0
246;7,605;0
247;7,609;0
